edge,freq,lag_s,coef,se,t,p_raw,n_obs
BINANCE->COINBASE,5s,5,0.16112628934396436,0.006924268839152864,23.269791090849246,0.0,16704
BINANCE->COINBASE,5s,15,0.014613384390590954,0.007034637295261581,2.0773472429679205,0.03778476757557936,16702
BINANCE->COINBASE,5s,30,-0.012361611192897535,0.007035685120528477,-1.7569875543220739,0.07893825717399716,16699
BINANCE->BYBITSPOT,5s,5,0.16828071724353197,0.0074051970880196615,22.72467771530096,0.0,16704
BINANCE->BYBITSPOT,5s,15,0.007329149385408709,0.007518516941616202,0.9748131768967211,0.329667059334001,16702
BINANCE->BYBITSPOT,5s,30,-0.01259130876577388,0.007518965930964242,-1.6746064394202083,0.0940302025465769,16699
BINANCE->BITGET,5s,5,0.14692419522575556,0.007363625175488206,19.952698803142777,0.0,16704
BINANCE->BITGET,5s,15,0.006726258887507793,0.0074506159212706265,0.9027789056076719,0.3666562696758193,16702
BINANCE->BITGET,5s,30,-0.011220375750703507,0.007450934557621173,-1.5059017984833551,0.13211130159333817,16699
COINBASE->BINANCE,5s,5,0.0865815765751073,0.008482391000964627,10.207213575189018,0.0,16704
COINBASE->BINANCE,5s,15,-0.008526354432055842,0.00850854752150648,-1.0020928261262398,0.31631328170569883,16702
COINBASE->BINANCE,5s,30,-0.015713896260928707,0.00850885692513734,-1.8467693603480202,0.06479825742381218,16699
COINBASE->BYBITSPOT,5s,5,0.0974318603581124,0.008234164504996424,11.832634664876023,0.0,16704
COINBASE->BYBITSPOT,5s,15,-0.008524678765503278,0.008268338331251807,-1.0310026542192379,0.3025545061135042,16702
COINBASE->BYBITSPOT,5s,30,-0.012711525603531533,0.008268977463134371,-1.5372548371553072,0.12424986498739155,16699
COINBASE->BITGET,5s,5,0.08228142566982569,0.008169121800125053,10.072248606767758,0.0,16704
COINBASE->BITGET,5s,15,-0.008353327220673166,0.008193638161396963,-1.0194893960571205,0.3079854534309181,16702
COINBASE->BITGET,5s,30,-0.013180186529884258,0.008193973387833583,-1.6085220083157956,0.10773980623406265,16699
BYBITSPOT->BINANCE,5s,5,0.1288097994239936,0.007899306704880607,16.30646893915489,0.0,16704
BYBITSPOT->BINANCE,5s,15,-0.0038886980151034483,0.007961795113716972,-0.4884197545354826,0.6252589652754663,16702
BYBITSPOT->BINANCE,5s,30,-0.017464517059663984,0.00796154119792318,-2.193610084467027,0.02827718855136574,16699
BYBITSPOT->COINBASE,5s,5,0.1405446427257452,0.0071578115555133185,19.635141500406004,0.0,16704
BYBITSPOT->COINBASE,5s,15,0.0027000691518223666,0.007239842800253987,0.37294582580268776,0.7091934976795367,16702
BYBITSPOT->COINBASE,5s,30,-0.015749228745837403,0.007239642195104572,-2.175415348079908,0.02961298559484149,16699
BYBITSPOT->BITGET,5s,5,0.12221898804200812,0.007608719233342464,16.063017216672623,0.0,16704
BYBITSPOT->BITGET,5s,15,-0.00304907260229784,0.00766714810179483,-0.3976801493614127,0.6908710546602763,16702
BYBITSPOT->BITGET,5s,30,-0.014536510743906416,0.0076670023355416604,-1.8959836071159142,0.05797946083139527,16699
BITGET->BINANCE,5s,5,0.14417828384510273,0.007956850206816139,18.120019869369184,0.0,16704
BITGET->BINANCE,5s,15,-0.0023191026487012034,0.008034863237352603,-0.28863000902369085,0.7728681108338074,16702
BITGET->BINANCE,5s,30,-0.018486916983393383,0.008034563632312676,-2.3009235883134194,0.02140821064234122,16699
BITGET->COINBASE,5s,5,0.15655663268850226,0.007204970187281172,21.728977167021366,0.0,16704
BITGET->COINBASE,5s,15,0.004781721022398226,0.007306188099660908,0.6544754880619831,0.5128145272554363,16702
BITGET->COINBASE,5s,30,-0.01660822940217653,0.007306053779031743,-2.273214775648365,0.023025885262070833,16699
BITGET->BYBITSPOT,5s,5,0.15996312012429667,0.007709131181082022,20.749824638714333,0.0,16704
BITGET->BYBITSPOT,5s,15,-0.001898551975987453,0.0078080462629598274,-0.24315326933882195,0.8078896526347608,16702
BITGET->BYBITSPOT,5s,30,-0.016774451500684497,0.007807969126604361,-2.1483757464573383,0.03169825687339145,16699
