edge,lag,lag_s,coef,se,t,p_raw,n_obs
BINANCE->BITGET,1,5,0.031289631997381884,0.0046049638585904705,6.794761687219691,1.0910161662991413e-11,99069
BINANCE->BITGET,3,15,0.03350338242797177,0.004653064018938255,7.200284004606632,6.050715484207103e-13,99067
BINANCE->BITGET,6,30,0.009823205273584719,0.004702179663740397,2.0890748495498257,0.036703531334681516,99064
BINANCE->BYBITSPOT,1,5,0.01246241355424018,0.004004717297572504,3.1119334095803435,0.0018591659292375162,104312
BINANCE->BYBITSPOT,3,15,0.0032002787917940864,0.003973196760468485,0.8054669790420188,0.42055209019734496,104310
BINANCE->BYBITSPOT,6,30,-0.004311751752094743,0.0038678205198264775,-1.114775551242016,0.2649491844116789,104307
BINANCE->COINBASE,1,5,0.08454696201197798,0.00586870149953338,14.406417163779807,0.0,112889
BINANCE->COINBASE,3,15,0.00919661772085944,0.004514567477849578,2.0370982970089666,0.04164252027789894,112887
BINANCE->COINBASE,6,30,0.040333499977893386,0.00671305896377016,6.008214764024872,1.8814902968955494e-09,112884
BITGET->BINANCE,1,5,0.006347836297739797,0.00624376850654694,1.0166674647024048,0.3093141311209644,99069
BITGET->BINANCE,3,15,-0.00202464927800636,0.005308440641970101,-0.3814018870247666,0.7029058789781346,99067
BITGET->BINANCE,6,30,0.0032269501068614495,0.00566176732890151,0.5699545600167817,0.568709810622265,99064
BITGET->BYBITSPOT,1,5,0.0018087763219478137,0.004742277538862388,0.3814151127016737,0.7028960625521781,99578
BITGET->BYBITSPOT,3,15,0.004575116546314228,0.004881165033902607,0.9373001147343535,0.348606477277313,99576
BITGET->BYBITSPOT,6,30,0.0076838338658650985,0.0045191670960709465,1.7002765559488995,0.0890820410048474,99573
BITGET->COINBASE,1,5,-0.0010435148132148582,0.004582019944902868,-0.227741220196059,0.819847873789481,103813
BITGET->COINBASE,3,15,-0.002837922920375899,0.004277314833285296,-0.6634823554000965,0.5070231497397759,103811
BITGET->COINBASE,6,30,9.549008835178915e-05,0.004338842856961455,0.02200819239133773,0.982441462838969,103808
BYBITSPOT->BINANCE,1,5,-0.0017102693474841365,0.00471710737576277,-0.36256739803544985,0.7169288025352314,104312
BYBITSPOT->BINANCE,3,15,0.006579292640721639,0.004610550418975418,1.4270080668988163,0.15358056273590193,104310
BYBITSPOT->BINANCE,6,30,-0.005634380686770835,0.004407615911173721,-1.278328420697264,0.20113649536689526,104307
BYBITSPOT->BITGET,1,5,0.008744221932471067,0.004810585334535568,1.8177043591131448,0.0691123348749858,99578
BYBITSPOT->BITGET,3,15,-0.001220389845856605,0.0049584526717892,-0.24612312078724377,0.8055874329910195,99576
BYBITSPOT->BITGET,6,30,0.0018249002533289082,0.004957651261991623,0.368097745664304,0.7128011342456251,99573
BYBITSPOT->COINBASE,1,5,-0.00018410334055816099,0.004215663411568323,-0.04367126181206918,0.9651665262131957,110224
BYBITSPOT->COINBASE,3,15,0.0013962173590634215,0.004357225653670612,0.32043723920683814,0.7486375071936955,110222
BYBITSPOT->COINBASE,6,30,-0.0076570425575190415,0.004407920258449848,-1.7371100447746814,0.08237054230628882,110219
COINBASE->BINANCE,1,5,0.038311129159332984,0.0054006583390651475,7.093788711315634,1.31250565971186e-12,112889
COINBASE->BINANCE,3,15,0.005021666198076735,0.005687434545067379,0.8829404819141076,0.3772703100326844,112887
COINBASE->BINANCE,6,30,-0.002806642779232945,0.005969345169099294,-0.47017599078735056,0.6382301943774957,112884
COINBASE->BITGET,1,5,0.009647113360355142,0.004788620488439789,2.0145913387047987,0.0439500593718789,103813
COINBASE->BITGET,3,15,0.0032826427469740305,0.005083110780865039,0.6457940596792173,0.5184141630502106,103811
COINBASE->BITGET,6,30,0.007534848242831122,0.0047162866354165354,1.5976230507808513,0.11012993699446172,103808
COINBASE->BYBITSPOT,1,5,0.0013256850907704294,0.004553275920237812,0.29114973790149545,0.7709373492618377,110224
COINBASE->BYBITSPOT,3,15,0.013589366090043811,0.004753249086991822,2.858963593394194,0.004251072686917379,110222
COINBASE->BYBITSPOT,6,30,-0.006492670861210512,0.00480615852027931,-1.3509065158410942,0.1767281539326464,110219
